順位,選手名,チーム,打率,試合,打席数,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,敬遠,死球,三振,併殺打,出塁率,長打率,year
262,上本　達之,西武,0.145,44,77,69,4,10,1,0,1,14,7,1,0,3,0,4,0,1,24,0,0.203,0.203,2011
263,野口　祥順,ヤクルト,0.143,26,15,14,3,2,0,0,0,2,1,2,2,1,0,0,0,0,3,1,0.143,0.143,2011
263,佐藤　賢治,日本ハム,0.143,8,7,7,1,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0.143,0.143,2011
265,浅井　良,阪神,0.138,63,75,65,6,9,4,0,0,13,5,0,1,2,1,6,0,1,15,0,0.219,0.2,2011
265,ガイエル,ヤクルト,0.138,11,34,29,3,4,2,0,1,9,4,0,0,0,0,3,0,2,11,1,0.265,0.31,2011
267,水田　圭介,中日,0.133,14,19,15,0,2,0,0,0,2,0,0,0,2,0,2,0,0,1,0,0.235,0.133,2011
267,平石　洋介,楽天,0.133,35,16,15,3,2,0,0,0,2,0,1,0,0,0,1,0,0,6,0,0.188,0.133,2011
269,西村　弥,楽天,0.13,63,26,23,15,3,0,0,0,3,1,3,1,2,0,1,0,0,4,1,0.167,0.13,2011
269,今岡　誠,ロッテ,0.13,13,26,23,2,3,1,0,0,4,1,0,0,1,0,2,0,0,3,0,0.2,0.174,2011
271,飯原　誉士,ヤクルト,0.126,64,122,103,6,13,4,0,0,17,8,0,0,4,1,14,1,0,20,7,0.229,0.165,2011
272,武山　真吾,横浜,0.125,46,102,88,4,11,3,0,1,17,5,0,0,6,1,4,0,3,26,4,0.188,0.193,2011
272,松井　佑介,中日,0.125,4,8,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0.125,0.125,2011
272,荒木　貴裕,ヤクルト,0.125,3,8,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0.125,0.125,2011
275,細谷　圭,ロッテ,0.121,22,60,58,2,7,1,1,2,16,5,0,0,1,0,1,0,0,28,2,0.136,0.276,2011
276,佐藤　友亮,西武,0.12,42,57,50,4,6,1,0,1,10,1,0,0,4,0,2,0,1,10,1,0.17,0.2,2011
277,円谷　英俊,巨人,0.118,13,20,17,1,2,1,0,0,3,1,0,0,1,0,1,1,1,5,0,0.211,0.176,2011
278,枡田　慎太郎,楽天,0.115,14,30,26,3,3,1,0,0,4,4,0,0,2,1,1,0,0,10,0,0.143,0.154,2011
278,今成　亮太,日本ハム,0.115,22,28,26,0,3,0,0,0,3,1,0,0,1,1,0,0,0,9,0,0.111,0.115,2011
280,江川　智晃,ソフトバンク,0.111,11,10,9,1,1,0,0,1,4,1,0,0,0,0,1,0,0,8,0,0.2,0.444,2011
281,山崎　憲晴,横浜,0.105,21,41,38,1,4,0,0,0,4,1,0,1,1,0,2,0,0,14,1,0.15,0.105,2011
281,石井　義人,西武,0.105,12,20,19,0,2,0,0,0,2,1,0,0,0,0,1,0,0,6,0,0.15,0.105,2011
283,駿太,オリックス,0.1,30,47,40,4,4,1,0,0,5,1,0,1,6,0,1,0,0,13,0,0.122,0.125,2011
283,英智,中日,0.1,56,24,20,9,2,0,0,0,2,1,2,0,2,0,2,0,0,3,0,0.182,0.1,2011
285,阿部　俊人,楽天,0.091,17,24,22,1,2,0,0,0,2,0,0,0,2,0,0,0,0,8,1,0.091,0.091,2011
285,中谷　仁,楽天,0.091,11,23,22,1,2,0,0,1,5,2,0,0,1,0,0,0,0,9,0,0.091,0.227,2011
285,カラバイヨ,オリックス,0.091,4,12,11,1,1,0,0,0,1,0,0,0,0,0,1,0,0,6,0,0.167,0.091,2011
285,清水　誉,阪神,0.091,11,11,11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0.091,0.091,2011
289,三輪　正義,ヤクルト,0.077,54,16,13,15,1,0,0,0,1,0,5,2,3,0,0,0,0,2,0,0.077,0.077,2011
289,白濱　裕太,広島,0.077,7,14,13,0,1,0,0,0,1,1,0,0,1,0,0,0,0,4,0,0.077,0.077,2011
289,柴原　洋,ソフトバンク,0.077,11,13,13,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0.077,0.077,2011
292,金澤　岳,ロッテ,0.071,21,29,28,0,2,0,0,0,2,2,0,0,0,1,0,0,0,11,0,0.069,0.071,2011
293,日高　剛,オリックス,0.068,26,50,44,1,3,1,0,0,4,2,0,0,0,0,5,0,1,12,1,0.18,0.091,2011
294,松本　哲也,巨人,0.053,20,19,19,2,1,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0.053,0.053,2011
295,前田　大輔,オリックス,0.05,12,24,20,0,1,0,0,0,1,0,0,0,3,0,1,0,0,5,0,0.095,0.05,2011
296,高口　隆行,ロッテ,0.045,38,24,22,2,1,0,0,0,1,0,0,0,1,0,1,0,0,6,0,0.087,0.045,2011
297,金子　圭輔,オリックス,0.0,11,16,12,0,0,0,0,0,0,0,0,0,3,0,1,0,0,4,0,0.077,0.0,2011
297,横山　徹也,オリックス,0.0,5,11,8,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0.2,0.0,2011
297,鬼崎　裕司,ヤクルト,0.0,8,10,9,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0.1,0.0,2011
297,前田　章宏,中日,0.0,11,9,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0.111,0.0,2011
297,田中　大輔,中日,0.0,4,8,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0.25,0.0,2011
297,柳田　悠岐,ソフトバンク,0.0,6,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,2011
297,坂　克彦,阪神,0.0,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.0,0.0,2011
297,渡部　龍一,日本ハム,0.0,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,2011
297,岡崎　太一,阪神,0.0,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,2011
297,野原　祐也,阪神,0.0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,2011
297,星　秀和,西武,0.0,3,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0.0,0.0,2011
297,カラスコ,中日,0.0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.0,0.0,2011
297,野中　信吾,オリックス,0.0,12,3,2,2,0,0,0,0,0,0,2,1,1,0,0,0,0,2,0,0.0,0.0,2011
297,青野　毅,ロッテ,0.0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.333,0.0,2011
297,市川　卓,日本ハム,0.0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.333,0.0,2011
297,柳田　殖生,中日,0.0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,2011
297,林崎　遼,西武,0.0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2011
297,鬼崎　裕司,西武,0.0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,2011
297,関口　雄大,日本ハム,0.0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2011
297,丈武,楽天,0.0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,2011
297,岳野　竜也,西武,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,2011
297,中川　大志,楽天,0.0,2,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,2011
297,松井　淳,ヤクルト,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,2011
297,中井　大介,巨人,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,2011
297,黒瀬　春樹,阪神,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2011
297,今宮　健太,ソフトバンク,0.0,18,1,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0.0,0.0,2011
297,中島　卓也,日本ハム,0.0,8,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0.0,2011
297,清水　将海,ソフトバンク,0.0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,2011
297,隠善　智也,巨人,0.0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,2011
297,野原　将志,阪神,0.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2011
297,堂上　隼人,ソフトバンク,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2011
297,早川　大輔,横浜,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,2011
297,桑原　義行,横浜,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,2011
297,西田　哲朗,楽天,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,2011
297,小斉　祐輔,ソフトバンク,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2011
297,中嶋　聡,日本ハム,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2011
297,中西　健太,ソフトバンク,0.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2011
297,米野　智人,西武,0.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2011
297,荒木　郁也,阪神,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2011
1,吉川　大幾,中日,0.5,3,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.5,0.5,2012
2,谷口　雄也,日本ハム,0.4,4,6,5,0,2,1,0,0,3,1,0,0,1,0,0,0,0,2,0,0.4,0.6,2012
3,深江　真登,オリックス,0.375,8,29,24,3,9,0,2,0,13,2,3,1,2,0,2,0,1,5,0,0.444,0.542,2012
4,二岡　智宏,日本ハム,0.353,65,94,85,4,30,1,0,2,37,14,0,0,0,1,7,1,1,13,3,0.404,0.435,2012
5,阿部　慎之助,巨人,0.34,138,556,467,72,159,22,1,27,264,104,0,0,2,8,69,6,9,47,11,0.429,0.565,2012
6,狩野　恵輔,阪神,0.333,7,15,15,2,5,2,0,1,10,1,0,0,0,0,0,0,0,3,0,0.333,0.667,2012
6,桑原　将志,DeNA,0.333,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.333,0.333,2012
6,鈴木　将光,広島,0.333,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.333,0.333,2012
6,磯村　嘉孝,広島,0.333,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,2012
10,前田　智徳,広島,0.327,56,56,49,1,16,4,0,0,20,19,0,0,0,2,5,3,0,5,2,0.375,0.408,2012
11,石井　義人,巨人,0.315,51,64,54,4,17,2,0,0,19,14,0,0,1,2,7,0,0,9,0,0.381,0.352,2012
12,角中　勝也,ロッテ,0.312,128,525,477,51,149,30,5,3,198,61,8,4,1,4,38,0,5,68,9,0.366,0.415,2012
13,坂本　勇人,巨人,0.311,144,619,557,87,173,35,2,14,254,69,16,1,12,5,39,1,6,90,5,0.359,0.456,2012
13,中島　裕之,西武,0.311,136,567,499,69,155,29,1,13,225,74,7,6,1,6,52,3,9,76,10,0.382,0.451,2012
15,大島　洋平,中日,0.31,144,631,555,83,172,19,5,1,204,13,32,17,17,0,46,0,13,80,7,0.376,0.368,2012
15,中東　直己,広島,0.31,53,33,29,10,9,0,0,0,9,1,1,1,2,0,2,0,0,5,0,0.355,0.31,2012
17,ホワイトセル,ロッテ,0.309,63,257,223,24,69,13,0,9,109,43,0,1,0,1,29,0,4,75,2,0.397,0.489,2012
18,藤田　一也,楽天,0.308,63,188,172,17,53,8,2,0,65,15,5,2,11,1,4,0,0,10,4,0.322,0.378,2012
18,田上　健一,阪神,0.308,31,16,13,8,4,0,0,0,4,1,2,1,2,0,1,0,0,5,0,0.357,0.308,2012
20,矢野　謙次,巨人,0.307,62,119,101,10,31,4,1,1,40,4,0,0,4,0,12,2,2,18,4,0.391,0.396,2012
21,糸井　嘉男,日本ハム,0.304,134,597,510,72,155,21,3,9,209,48,22,9,0,1,75,2,11,86,9,0.404,0.41,2012
22,長野　久義,巨人,0.301,144,653,574,84,173,29,2,14,248,60,20,7,2,1,75,5,1,100,5,0.382,0.432,2012
23,内川　聖一,ソフトバンク,0.3,138,567,523,44,157,21,3,7,205,53,6,4,0,7,31,6,6,36,12,0.342,0.392,2012
23,ミレッジ,ヤクルト,0.3,125,546,476,73,143,23,1,21,231,65,9,7,3,4,57,5,6,79,11,0.379,0.485,2012
23,田中　賢介,日本ハム,0.3,114,505,457,49,137,14,3,3,166,32,13,9,8,3,35,2,2,36,2,0.35,0.363,2012
23,ラミレス,DeNA,0.3,137,504,476,40,143,25,0,19,225,76,0,0,0,3,18,1,7,60,18,0.333,0.473,2012
23,松田　宣浩,ソフトバンク,0.3,95,390,360,41,108,28,7,9,177,56,16,10,0,2,27,5,1,63,7,0.349,0.492,2012
28,島内　宏明,楽天,0.299,41,104,97,11,29,6,1,2,43,17,1,0,4,1,2,0,0,8,2,0.31,0.443,2012
29,川端　慎吾,ヤクルト,0.298,125,507,453,52,135,15,5,4,172,49,3,2,13,4,35,0,2,56,7,0.348,0.38,2012
29,阿部　俊人,楽天,0.298,30,51,47,3,14,0,0,0,14,2,1,3,3,0,0,0,1,9,0,0.313,0.298,2012
31,宮出　隆自,ヤクルト,0.296,37,58,54,5,16,5,1,3,32,8,0,0,1,0,3,0,0,11,1,0.333,0.593,2012
32,枡田　慎太郎,楽天,0.295,79,290,254,29,75,14,3,5,110,32,1,1,7,5,19,2,5,56,2,0.35,0.433,2012
33,カーター,西武,0.294,59,138,126,9,37,8,0,4,57,27,0,0,0,1,10,0,1,22,3,0.348,0.452,2012
34,秋山　翔吾,西武,0.293,107,450,403,50,118,17,8,4,163,37,10,5,15,1,28,0,3,70,7,0.343,0.404,2012
34,河田　寿司,楽天,0.293,18,47,41,0,12,0,0,0,12,5,0,0,0,1,5,0,0,6,2,0.362,0.293,2012
36,今成　亮太,阪神,0.292,60,103,96,4,28,3,0,0,31,4,0,0,1,0,6,1,0,19,4,0.333,0.323,2012
37,嶋　基宏,楽天,0.291,91,316,265,32,77,4,2,1,88,8,3,4,13,1,33,0,4,51,5,0.376,0.332,2012
38,稲葉　篤紀,日本ハム,0.29,127,497,449,46,130,23,3,10,189,61,0,0,8,3,32,3,5,70,3,0.342,0.421,2012
39,栗山　巧,西武,0.289,103,467,394,57,114,17,1,2,139,33,3,1,12,3,52,0,6,62,4,0.378,0.353,2012
39,西村　弥,楽天,0.289,82,42,38,14,11,7,0,0,18,5,0,3,1,1,2,0,0,11,0,0.317,0.474,2012
41,陽　岱鋼,日本ハム,0.287,144,599,533,71,153,28,5,7,212,55,17,6,18,5,37,1,6,123,10,0.337,0.398,2012
41,松井　淳,ヤクルト,0.287,46,150,143,15,41,8,1,5,66,15,1,1,0,0,6,1,1,26,5,0.32,0.462,2012
43,李　大浩,オリックス,0.286,144,601,525,54,150,25,2,24,251,91,0,2,0,5,64,3,7,85,18,0.368,0.478,2012
43,オーティズ,西武,0.286,64,214,199,20,57,8,0,9,92,21,0,1,0,0,14,0,1,38,8,0.336,0.462,2012
45,和田　一浩,中日,0.285,144,586,508,52,145,32,2,9,208,63,2,0,0,6,71,1,1,72,14,0.37,0.409,2012
45,石川　雄洋,DeNA,0.285,80,304,263,31,75,10,1,1,90,14,7,6,13,1,24,1,3,49,3,0.351,0.342,2012
47,井端　弘和,中日,0.284,140,553,489,35,139,17,0,2,162,35,4,4,8,1,52,2,3,58,14,0.356,0.331,2012
48,堂上　剛裕,中日,0.282,85,166,156,10,44,8,0,4,64,17,1,1,1,1,8,2,0,36,4,0.315,0.41,2012
49,清田　育宏,ロッテ,0.281,87,292,253,28,71,15,2,3,99,29,5,5,3,2,34,1,0,46,5,0.363,0.391,2012
50,ペーニャ,ソフトバンク,0.28,130,507,461,52,129,30,2,21,226,76,2,0,0,3,35,2,8,130,11,0.339,0.49,2012
50,銀次,楽天,0.28,126,485,432,37,121,16,2,4,153,45,8,4,23,4,22,0,4,37,4,0.318,0.354,2012
50,Ｔ−岡田,オリックス,0.28,103,404,378,46,106,22,0,10,158,56,4,3,0,0,22,1,4,81,5,0.327,0.418,2012
50,新井　良太,阪神,0.28,110,370,322,38,90,18,0,11,141,32,1,0,3,1,38,0,6,73,7,0.365,0.438,2012
50,雄平,ヤクルト,0.28,47,153,143,14,40,4,0,0,44,8,2,3,3,0,7,0,0,19,0,0.313,0.308,2012
55,根元　俊一,ロッテ,0.279,133,584,512,58,143,25,4,9,203,41,6,6,40,0,31,0,1,98,7,0.322,0.396,2012
56,長谷川　勇也,ソフトバンク,0.278,126,473,403,41,112,15,3,4,145,37,16,5,16,5,40,2,9,87,4,0.352,0.36,2012
57,三輪　正義,ヤクルト,0.276,65,39,29,15,8,1,0,0,9,0,6,1,8,0,2,0,0,5,0,0.323,0.31,2012
58,田中　浩康,ヤクルト,0.274,139,593,486,48,133,16,1,2,157,40,1,1,40,4,54,0,9,60,15,0.354,0.323,2012
58,中村　紀洋,DeNA,0.274,126,500,442,50,121,24,1,11,180,61,1,1,0,6,50,1,2,72,14,0.346,0.407,2012
58,鈴木　大地,ロッテ,0.274,62,160,135,16,37,5,1,0,44,11,0,0,10,1,13,0,1,23,1,0.34,0.326,2012
61,比屋根　渉,ヤクルト,0.273,43,51,44,11,12,0,0,0,12,2,11,4,2,1,3,0,1,1,1,0.327,0.273,2012
62,バレンティン,ヤクルト,0.272,106,422,353,58,96,13,0,31,202,81,1,0,0,2,64,4,3,92,14,0.386,0.572,2012
63,小田　幸平,中日,0.271,35,54,48,2,13,2,0,0,15,4,0,0,4,0,2,1,0,12,0,0.3,0.313,2012
64,聖澤　諒,楽天,0.27,138,595,523,78,141,14,3,4,173,45,54,11,12,4,49,0,7,104,4,0.338,0.331,2012
64,ヘルマン,西武,0.27,144,583,507,55,137,20,4,3,174,60,41,13,10,5,57,1,4,75,20,0.346,0.343,2012
64,熊代　聖人,西武,0.27,109,133,115,14,31,2,0,0,33,6,2,1,12,1,3,0,2,30,1,0.298,0.287,2012
67,大崎　雄太朗,西武,0.269,107,298,260,22,70,15,1,1,90,22,1,0,10,4,17,1,7,27,4,0.326,0.346,2012
67,中井　大介,巨人,0.269,16,31,26,1,7,0,1,0,9,1,1,0,0,0,5,0,0,7,0,0.387,0.346,2012
69,荒波　翔,DeNA,0.268,141,550,504,53,135,16,7,1,168,25,24,12,16,2,23,2,5,90,2,0.305,0.333,2012
69,岩本　貴裕,広島,0.268,71,242,239,21,64,15,0,6,97,27,1,1,1,0,2,0,0,43,5,0.274,0.406,2012
71,宮本　慎也,ヤクルト,0.267,110,394,356,19,95,5,0,3,109,23,1,0,16,1,16,2,5,38,9,0.307,0.306,2012
72,畠山　和洋,ヤクルト,0.266,121,497,455,49,121,21,1,13,183,55,2,1,1,2,37,0,2,64,13,0.323,0.402,2012
72,川端　崇義,オリックス,0.266,125,484,429,31,114,16,0,2,136,27,6,3,24,0,22,1,9,59,8,0.315,0.317,2012
72,松井　稼頭央,楽天,0.266,106,433,402,55,107,22,4,9,164,43,14,3,3,1,26,3,1,55,6,0.312,0.408,2012
72,鶴岡　慎也,日本ハム,0.266,116,328,289,22,77,10,1,0,89,25,3,2,23,1,14,0,1,41,11,0.302,0.308,2012
76,天谷　宗一郎,広島,0.265,108,397,359,44,95,21,0,6,134,25,12,9,2,1,32,1,3,64,3,0.329,0.373,2012
76,野本　圭,中日,0.265,49,73,68,6,18,3,0,0,21,5,0,0,0,0,4,0,1,12,0,0.315,0.309,2012
78,バルディリス,オリックス,0.264,143,574,503,37,133,31,2,10,198,55,1,1,0,3,54,4,14,76,13,0.35,0.394,2012
79,野口　祥順,ヤクルト,0.263,39,46,38,10,10,1,0,0,11,0,2,2,4,0,3,0,1,9,0,0.333,0.289,2012
80,鳥谷　敬,阪神,0.262,144,624,515,62,135,22,6,8,193,59,15,4,5,8,94,2,2,91,12,0.373,0.375,2012
80,岡田　幸文,ロッテ,0.262,131,482,431,53,113,5,3,0,124,18,23,14,25,2,18,0,6,47,4,0.3,0.288,2012
80,スケールズ,オリックス,0.262,85,362,305,42,80,16,3,5,117,23,4,1,0,2,47,1,8,103,3,0.373,0.384,2012
80,エルドレッド,広島,0.262,65,251,225,22,59,10,0,11,102,35,0,0,0,3,20,1,3,67,3,0.327,0.453,2012
84,マートン,阪神,0.26,121,473,453,39,118,18,2,5,155,38,2,4,0,1,18,0,1,56,14,0.29,0.342,2012
85,金本　知憲,阪神,0.258,126,406,356,24,92,16,1,6,128,30,3,3,0,1,49,0,0,54,2,0.347,0.36,2012
85,谷　佳知,巨人,0.258,89,255,229,19,59,5,0,3,73,22,1,2,11,1,14,2,0,48,5,0.299,0.319,2012
85,松本　哲也,巨人,0.258,83,229,198,29,51,7,2,0,62,11,12,2,12,2,17,0,0,34,4,0.313,0.313,2012
85,岡島　豪郎,楽天,0.258,43,125,120,12,31,3,0,2,40,11,3,1,0,0,4,0,1,15,1,0.288,0.333,2012
89,大和,阪神,0.257,128,349,311,29,80,13,3,0,99,26,17,8,19,0,15,0,4,46,3,0.3,0.318,2012
89,上田　剛史,ヤクルト,0.257,50,173,148,14,38,5,2,0,47,12,8,4,13,0,12,0,0,30,2,0.313,0.318,2012
91,後藤　武敏,DeNA,0.256,51,138,125,11,32,3,0,6,53,15,0,1,0,1,12,0,0,26,2,0.319,0.424,2012
91,川本　良平,ヤクルト,0.256,27,47,43,4,11,2,0,1,16,4,0,1,0,0,3,1,1,13,1,0.319,0.372,2012
93,井口　資仁,ロッテ,0.255,140,578,505,58,129,30,1,11,194,60,3,1,0,4,53,3,16,99,11,0.343,0.384,2012
93,福地　寿樹,ヤクルト,0.255,83,216,188,18,48,13,1,0,63,19,12,1,6,2,16,0,4,29,3,0.324,0.335,2012
95,明石　健志,ソフトバンク,0.254,135,567,508,54,129,8,6,1,152,27,25,10,23,1,33,0,2,98,2,0.301,0.299,2012
95,中村　悠平,ヤクルト,0.254,91,249,209,19,53,5,0,1,61,15,1,1,8,2,28,4,2,31,10,0.344,0.292,2012
95,上本　博紀,阪神,0.254,62,224,197,22,50,13,1,1,68,7,13,4,2,1,19,0,5,46,3,0.333,0.345,2012
95,大田　泰示,巨人,0.254,21,70,63,9,16,4,1,2,28,7,3,2,0,0,7,0,0,15,3,0.329,0.444,2012
99,今江　敏晃,ロッテ,0.253,136,501,446,45,113,21,3,6,158,47,0,3,23,8,19,0,5,37,15,0.287,0.354,2012
100,村田　修一,巨人,0.252,144,575,516,49,130,27,0,12,193,58,1,3,2,6,36,3,15,85,16,0.316,0.374,2012
100,藤村　大介,巨人,0.252,109,279,238,30,60,7,2,0,71,10,14,7,26,0,15,0,0,35,2,0.296,0.298,2012
100,下園　辰哉,DeNA,0.252,90,150,139,10,35,8,1,0,45,14,0,0,1,0,10,1,0,21,6,0.302,0.324,2012
100,安部　友裕,広島,0.252,53,135,119,15,30,3,0,1,36,2,5,2,9,0,7,0,0,21,1,0.294,0.303,2012
104,荒木　雅博,中日,0.251,129,569,510,50,128,21,1,3,160,31,12,4,36,2,19,0,2,65,4,0.28,0.314,2012
104,鉄平,楽天,0.251,121,355,315,34,79,7,3,1,95,33,8,5,18,5,11,0,6,45,7,0.285,0.302,2012
106,新井　貴浩,阪神,0.25,122,493,460,46,115,25,0,9,167,52,1,3,0,2,30,2,1,85,12,0.296,0.363,2012
106,多村　仁志,ソフトバンク,0.25,79,218,200,16,50,9,1,4,73,20,0,1,0,0,18,0,0,43,7,0.312,0.365,2012
106,福浦　和也,ロッテ,0.25,84,199,180,5,45,3,0,0,48,25,0,0,1,2,15,1,1,27,3,0.308,0.267,2012
106,中島　俊哉,楽天,0.25,58,108,96,7,24,2,0,0,26,6,1,1,5,0,7,0,0,15,0,0.301,0.271,2012
106,山田　哲人,ヤクルト,0.25,26,49,44,5,11,2,0,1,16,1,0,0,0,0,5,0,0,11,0,0.327,0.364,2012
106,鈴木　尚広,巨人,0.25,91,21,20,17,5,0,0,0,5,3,16,2,0,0,1,0,0,3,0,0.286,0.25,2012
106,金澤　岳,ロッテ,0.25,13,17,16,0,4,1,0,0,5,0,0,0,0,0,1,0,0,6,0,0.294,0.313,2012
106,荒金　久雄,オリックス,0.25,3,8,8,0,2,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0.25,0.25,2012
106,中田　亮二,中日,0.25,6,4,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.25,0.25,2012
106,稲田　直人,楽天,0.25,2,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.25,0.25,2012
116,森野　将彦,中日,0.249,124,494,434,45,108,23,1,6,151,50,1,0,4,4,49,1,3,68,13,0.327,0.348,2012
116,森岡　良介,ヤクルト,0.249,100,282,245,19,61,8,3,1,78,18,1,1,19,2,11,0,5,44,1,0.293,0.318,2012
118,ブランコ,中日,0.248,96,359,311,44,77,10,0,24,159,65,2,1,0,3,40,2,5,84,5,0.34,0.511,2012
118,藤井　彰人,阪神,0.248,81,228,210,9,52,5,0,1,60,10,0,1,7,0,9,2,2,39,3,0.285,0.286,2012
120,丸　佳浩,広島,0.247,106,339,283,26,70,10,4,4,100,22,14,6,5,3,46,0,2,59,4,0.353,0.353,2012
120,ホフパワー,日本ハム,0.247,109,325,296,28,73,13,0,14,128,37,1,1,0,1,25,2,3,81,3,0.311,0.432,2012
120,東出　輝裕,広島,0.247,91,282,247,15,61,8,0,0,69,6,1,2,19,0,13,0,3,22,3,0.293,0.279,2012
123,本多　雄一,ソフトバンク,0.246,123,536,480,52,118,15,4,0,141,31,34,7,14,4,37,0,1,65,6,0.299,0.294,2012
123,柳田　悠岐,ソフトバンク,0.246,68,212,195,17,48,10,1,5,75,18,6,1,2,0,10,2,5,56,2,0.3,0.385,2012
125,平野　恵一,阪神,0.245,134,519,458,43,112,5,2,1,124,24,6,2,15,0,42,2,4,61,4,0.313,0.271,2012
125,浅村　栄斗,西武,0.245,114,459,404,52,99,18,7,7,152,37,13,6,13,4,34,0,4,63,9,0.307,0.376,2012
125,相川　亮二,ヤクルト,0.245,72,244,220,19,54,8,0,1,65,28,0,0,1,2,20,3,1,33,7,0.309,0.295,2012
128,梵　英心,広島,0.244,137,575,499,52,122,21,3,10,179,52,14,8,19,6,50,4,1,70,7,0.311,0.359,2012
128,里崎　智也,ロッテ,0.244,120,439,385,35,94,12,0,9,133,41,0,1,14,3,33,2,4,80,11,0.308,0.345,2012
128,森本　稀哲,DeNA,0.244,108,230,201,20,49,5,1,3,65,18,0,2,4,1,20,0,3,44,6,0.32,0.323,2012
128,高須　洋介,楽天,0.244,58,212,176,16,43,7,0,0,50,9,2,0,8,2,24,0,2,15,5,0.338,0.284,2012
128,江川　智晃,ソフトバンク,0.244,56,175,160,12,39,3,4,4,62,18,1,0,4,3,8,0,0,37,3,0.275,0.388,2012
