順位,選手名,チーム,打率,試合,打席数,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,敬遠,死球,三振,併殺打,出塁率,長打率,year
64,小池　正晃,中日,0.268,73,150,127,12,34,8,1,5,59,21,0,0,8,0,12,2,3,32,6,0.345,0.465,2011
68,川崎　宗則,ソフトバンク,0.267,144,655,603,71,161,19,7,1,197,37,31,10,9,4,36,0,3,84,5,0.31,0.327,2011
68,岡田　幸文,ロッテ,0.267,144,635,577,68,154,7,4,0,169,35,41,11,20,1,28,0,9,66,5,0.311,0.293,2011
68,バルディリス,オリックス,0.267,137,544,479,49,128,16,1,18,200,66,2,4,3,5,38,1,19,72,12,0.342,0.418,2011
68,上田　剛史,ヤクルト,0.267,12,34,30,1,8,1,0,0,9,0,6,0,1,0,3,0,0,5,0,0.333,0.3,2011
72,渡辺　直人,横浜,0.266,126,469,403,33,107,16,2,1,130,24,7,5,19,0,36,0,11,73,13,0.342,0.323,2011
72,角中　勝也,ロッテ,0.266,51,171,154,9,41,5,1,0,48,10,2,0,1,3,9,0,4,30,2,0.318,0.312,2011
74,井口　資仁,ロッテ,0.265,140,597,509,52,135,23,3,9,191,73,1,1,0,7,72,4,9,96,11,0.362,0.375,2011
74,下園　辰哉,横浜,0.265,85,350,298,31,79,10,1,4,103,25,2,2,5,0,45,0,2,54,5,0.365,0.346,2011
76,荻野　貴司,ロッテ,0.264,23,103,91,14,24,4,0,0,28,10,14,1,3,1,7,0,1,6,1,0.32,0.308,2011
77,荒木　雅博,中日,0.263,135,593,543,58,143,20,2,2,173,24,18,9,10,1,36,0,3,73,4,0.312,0.319,2011
77,関本　賢太郎,阪神,0.263,100,255,224,15,59,7,0,2,72,16,0,0,0,0,28,1,3,55,9,0.353,0.321,2011
77,加藤　政義,日本ハム,0.263,21,39,38,1,10,1,0,0,11,2,0,0,0,0,0,0,1,8,1,0.282,0.289,2011
80,坂本　勇人,巨人,0.262,144,624,568,69,149,27,2,16,228,59,8,1,10,3,37,8,6,91,3,0.313,0.401,2011
80,稲葉　篤紀,日本ハム,0.262,137,518,473,49,124,22,3,12,188,54,4,2,7,3,27,2,8,71,4,0.311,0.397,2011
82,伊志嶺　翔大,ロッテ,0.261,126,492,422,52,110,16,6,2,144,21,32,6,27,0,30,0,13,77,3,0.329,0.341,2011
82,スケールズ,日本ハム,0.261,80,317,287,34,75,11,0,9,113,30,2,0,0,1,25,0,4,103,3,0.328,0.394,2011
82,ガルシア,楽天,0.261,88,316,287,27,75,11,0,8,110,34,1,1,0,5,22,0,2,79,7,0.313,0.383,2011
82,小窪　哲也,広島,0.261,65,158,142,13,37,7,0,2,50,12,1,1,9,0,3,0,4,17,0,0.295,0.352,2011
82,川島　慶三,ヤクルト,0.261,40,54,46,8,12,0,0,0,12,3,3,0,1,1,4,0,2,8,0,0.34,0.261,2011
87,松井　稼頭央,楽天,0.26,139,572,538,51,140,34,2,9,205,48,15,3,4,3,26,0,1,94,8,0.294,0.381,2011
87,Ｔ−岡田,オリックス,0.26,134,550,492,61,128,26,0,16,202,85,4,0,0,4,39,1,15,116,10,0.331,0.411,2011
87,石川　雄洋,横浜,0.26,125,530,466,49,121,11,1,0,134,22,12,7,32,0,30,0,2,95,8,0.307,0.288,2011
87,スレッジ,横浜,0.26,95,373,339,45,88,15,0,20,163,57,0,1,0,4,26,0,4,90,5,0.316,0.481,2011
87,赤松　真人,広島,0.26,80,217,192,25,50,9,0,1,62,18,19,4,15,2,4,0,4,29,1,0.287,0.323,2011
92,フェルナンデス,西武,0.259,142,577,529,49,137,21,0,17,209,81,3,3,0,7,39,4,2,84,19,0.308,0.395,2011
92,木村　昇吾,広島,0.259,106,349,293,30,76,6,1,0,84,17,3,3,37,1,14,2,4,53,6,0.301,0.287,2011
94,北川　博敏,オリックス,0.258,51,172,159,11,41,11,0,1,55,17,0,0,1,2,8,0,2,23,4,0.298,0.346,2011
95,谷繁　元信,中日,0.256,102,330,277,26,71,10,0,6,99,31,0,0,12,1,38,5,2,51,5,0.349,0.357,2011
95,嶋　重宣,広島,0.256,54,141,125,13,32,9,1,2,49,8,1,0,0,1,14,0,1,19,1,0.333,0.392,2011
95,森岡　良介,ヤクルト,0.256,52,97,86,6,22,2,0,0,24,6,0,0,2,0,8,0,1,20,1,0.326,0.279,2011
95,井生　崇光,広島,0.256,42,95,82,7,21,6,0,1,30,7,0,0,5,0,5,0,3,11,2,0.322,0.366,2011
95,荒波　翔,横浜,0.256,28,92,86,11,22,1,1,0,25,1,6,1,5,0,1,0,0,23,0,0.264,0.291,2011
100,平田　良介,中日,0.255,113,376,330,39,84,15,6,11,144,38,1,2,7,0,38,0,1,72,10,0.333,0.436,2011
101,伊志嶺　忠,楽天,0.254,33,73,67,7,17,5,0,0,22,7,1,1,2,0,4,0,0,19,0,0.296,0.328,2011
102,村田　修一,横浜,0.253,144,592,530,65,134,28,1,20,224,70,0,0,0,6,44,4,12,103,19,0.321,0.423,2011
103,田中　浩康,ヤクルト,0.252,142,619,511,57,129,13,2,1,149,40,2,3,62,3,40,0,3,63,9,0.309,0.292,2011
103,福田　秀平,ソフトバンク,0.252,97,244,218,30,55,7,3,1,71,22,22,2,16,1,4,0,5,48,1,0.281,0.326,2011
103,矢野　謙次,巨人,0.252,53,116,107,10,27,7,0,1,37,11,2,1,3,1,4,1,1,20,3,0.283,0.346,2011
106,上本　博紀,阪神,0.25,67,131,108,20,27,7,0,3,43,13,8,3,7,2,14,0,0,27,0,0.331,0.398,2011
106,金　泰均,ロッテ,0.25,31,119,104,7,26,5,0,1,34,14,0,0,0,1,12,0,2,23,4,0.336,0.327,2011
106,石井　琢朗,広島,0.25,61,106,92,11,23,2,2,1,32,4,0,0,2,0,12,1,0,13,1,0.337,0.348,2011
106,熊代　聖人,西武,0.25,81,77,64,6,16,1,0,0,17,8,2,0,4,2,6,0,1,20,0,0.315,0.266,2011
106,前田　智徳,広島,0.25,52,51,44,0,11,3,0,0,14,13,0,0,0,1,5,0,1,8,2,0.333,0.318,2011
106,森田　一成,阪神,0.25,20,34,32,2,8,3,1,1,16,5,0,0,0,1,1,0,0,8,0,0.265,0.5,2011
106,田上　健一,阪神,0.25,6,17,16,2,4,0,0,0,4,0,1,0,0,0,1,0,0,5,0,0.294,0.25,2011
106,斉藤　彰吾,西武,0.25,36,9,8,10,2,0,0,0,2,1,6,2,0,0,1,0,0,2,0,0.333,0.25,2011
106,坪井　智哉,オリックス,0.25,3,8,8,0,2,1,0,0,3,1,0,0,0,0,0,0,0,2,0,0.25,0.375,2011
106,竹原　直隆,ロッテ,0.25,2,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0.25,2011
116,ブランコ,中日,0.248,78,318,278,39,69,13,1,16,132,48,0,0,0,5,30,1,5,68,6,0.327,0.475,2011
117,ホワイトセル,ヤクルト,0.247,112,348,299,29,74,18,0,12,128,33,0,0,0,3,40,2,6,108,7,0.345,0.428,2011
117,山崎　浩司,オリックス,0.247,48,85,77,6,19,1,0,1,23,10,3,1,1,1,5,0,1,10,3,0.298,0.299,2011
119,亀井　義行,巨人,0.246,111,308,284,27,70,13,2,3,96,24,7,1,8,1,14,3,1,43,5,0.283,0.338,2011
119,高橋　由伸,巨人,0.246,95,301,256,35,63,13,0,15,121,37,0,1,1,0,40,1,4,64,9,0.357,0.473,2011
