id,妻の回答,夫の回答,子の回答,回答子,q1.1.1,q1.1.2,q1.2.1,q1.2.2,q1a,q1.3.1,q1.3.2,q1.3.3,q1.3.4,q1.3.5,q1.4.1,q1.4.2,q1.4.3,q1.4.4,q1.4.5,q1.5.1,q1.5.2,q1.5.3,q1.5.4,q1.5.5,q1.6.1,q1.6.2,q1.6.3,q1.6.4,q1.6.5,q2,q3,q4
814,1,1, , ,2,36,1,38,2,1,8,2,1,2,1,5,1,1,2, , , , , , , , , , ,7,1,38
815,1,1,1,1,2,44,1,47,2,1,10,3,1,2,1,8,2,1,2, , , , , , , , , , ,12,1,40
817,1,1, , ,2,38,1,37,1,2,8,2,1,2, , , , , , , , , , , , , , , ,13,2,1
818,1,1, , ,2,38,1,40,0, , , , , , , , , , , , , , , , , , , , ,1,1,1
819,1,1, , ,2,44,1,47,1,2,6,2,1,2, , , , , , , , , , , , , , , ,7,4,5
820,1,1,1,1,2,35,1,41,2,1,12,4,1,2,1,8,2,1,2, , , , , , , , , , ,13,4,13
821,1,1, , ,2,35,1,41,3,2,7,2,1,2,1,5,1,1,2,1,3,1,1,2, , , , , ,8,3,8
907,1,1, , ,2,35,1,37,2,2,5,1,1,2,2,0,1,1,2, , , , , , , , , , ,7,4,6
911,1,1,1,1,2,37,1,39,2,1,12,4,1,2,2,9,2,1,2, , , , , , , , , , ,14,4,6
914,1,1,1,1,2,38,1,50,2,1,12,3,1,2,2,8,2,1,2, , , , , , , , , , ,13,1,7
1002,1,1, , ,2,35,1,44,1,1,1,1,1,2, , , , , , , , , , , , , , , ,10,4,10
1005,1,1, , ,2,41,1,45,2,2,4,1,1,2,2,3,1,1,2, , , , , , , , , , ,9,1,32
1007,1,1,1,1,2,38,1,38,2,1,11,3,1,2,2,11,3,1,2, , , , , , , , , , ,13,1,10
1008,1,1,1,1,2,38,1,37,2,2,12,3,1,2,2,9,3,1,2, , , , , , , , , , ,12,1,12
1012,1,1, , ,2,38,1,42,1,1,2,1,1,2, , , , , , , , , , , , , , , ,2,4,2
1103,1,1,1,1,2,40,1,50,2,1,12,4,1,2,1,8,2,1,2, , , , , , , , , , ,12,1,15
1105,1,1,1,1,2,44,1,49,3,1,15,5,1,2,2,13,4,1,2,2,8,2,1,2, , , , , ,16,1,14
1113,1,1, , ,2,37,1,40,1,2,3,1,1,2, , , , , , , , , , , , , , , ,4,1,30
1115,1,1,1,1,2,42,1,49,1,2,11,3,1,2, , , , , , , , , , , , , , , ,16,1,42
1117,1,1, , ,2,36,1,41,2,1,7,2,1,2,2,4,1,1,2, , , , , , , , , , ,7,2,19
1118,1,1,1,1,2,40,1,43,1,1,11,3,1,2, , , , , , , , , , , , , , , ,15,4,20
1122,1,1, , ,2,36,1,35,0, , , , , , , , , , , , , , , , , , , , ,3,4,12
1204,1,1, , ,2,37,1,37,2,2,6,2,1,2,2,2,1,1,2, , , , , , , , , , ,8,3,6
1206,1,1, , ,2,35,1,34,1,1,5,1,1,2, , , , , , , , , , , , , , , ,8,1,8
1207,1,1,1,1,2,42,1,50,2,1,16,5,1,2,2,15,5,1,2, , , , , , , , , , ,17,4,3
1208,1,1,1,1,2,38,1,38,1,1,14,4,1,2, , , , , , , , , , , , , , , ,16,3,0
1210,1,1,1,1,2,43,1,45,2,1,17,5,1,2,2,14,4,1,2, , , , , , , , , , ,18,1,18
